id,name,code,created_at,updated_at
1,MM Belthangady,LOC-1,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
2,MM Chamrajnagar,LOC-2,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
3,MM Ckg,LOC-3,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
4,MM Gonikoppa,LOC-4,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
5,MM Hill Road,LOC-5,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
6,MM Ho,LOC-6,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
7,MM Hsn,LOC-7,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
8,MM Hsn Wh,LOC-8,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
9,MM Kadur,LOC-9,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
10,MM Koppa,LOC-10,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
11,MM Kundapura,LOC-11,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
12,MM Mlore Ro,LOC-12,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
13,MM Mnd,LOC-13,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
14,MM Mysore City Ro,LOC-14,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
15,MM Mysr Ro,LOC-15,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
16,MM Mysr Wh,LOC-16,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
17,MM Puttur,LOC-17,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
18,MM Udupi,LOC-18,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
19,Udupi Wh,LOC-19,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
